Company,Amount,Lead investors,Valuation,Industry,Date reported
Ohmium International,"$250,000,000 ",TPG Rise Climate,n/a,Energy,4/26/2023
Vesper Energy,"$100,000,000 ",GCM Grosvenor,n/a,Energy,9/13/2023
o9 Solutions,"$116,000,000 ",General Atlantic’s BeyondNetZero,"$3,700,000,000 ",Enterprise software,7/19/2023
Mill,"$100,000,000 ",n/a,n/a,Enviromental consulting,1/17/2023
Lvrch Capital Advisory,"$400,000,000 ",n/a,n/a,Financial services,7/24/2023
Lvrch Capital Advisory,"$200,000,000 ",n/a,n/a,Financial services,4/23/2023
Human Interest,"$161,000,000 ",BlackRock,n/a,Financial services,1/13/2023
Juniper Square,"$133,000,000 ",Owl Rock,n/a,Financial services,2/13/2023
Xpansiv,"$125,000,000 ",n/a,n/a,Financial services,1/11/2023
Stripe,"$6,500,000,000 ",n/a,"$50,000,000,000 ",Fintech,3/15/2023
Ramp,"$300,000,000 ",n/a,"$5,800,000,000 ",Fintech,8/23/2023
Clear Street,"$270,000,000 ",Prysm Capital,"$2,000,000,000 ",Fintech,4/11/2023
PayJoy,"$150,000,000 ",Warburg Pincus,n/a,Fintech,9/5/2023
Teamshares,"$124,000,000 ",QED Investors,n/a,Fintech,8/18/2023
Altruist,"$112,000,000 ","Insight Partners, Adams Street Partners",n/a,Fintech,4/12/2023
Tonal,"$130,000,000 ","L Catterton, Cobalt, Dragoneer, Kindred Ventures, THVC",n/a,Fitness,4/10/2023
Fleetio,"$144,700,000 ",Elephant,n/a,Fleet Management,5/26/2023
Lightmatter,"$154,000,000 ",n/a,n/a,Hardware,5/31/2023
Aledade,"$260,000,000 ",Lightspeed Venture Partners,"$3,500,000,000 ",Health care,6/21/2023
Paradigm,"$203,000,000 ","ARCH Venture Partners, General Catalyst",n/a,Health care,1/25/2023
ShiftMed,"$200,000,000 ",Panoramic Ventures,n/a,Health care,2/6/2023
Strive Health,"$166,000,000 ",NEA,n/a,Health care,5/31/2023
Alto Pharmacy,"$120,000,000 ",n/a,"$800,000,000 ",Health care,9/25/2023
Author Health,"$115,000,000 ","General Atlantic, Flare Capital Partners",n/a,Health care,6/28/2023
Carbon Health,"$100,000,000 ",CVS Health Ventures,n/a,Health care,1/9/2023
Vytalize Health,"$100,000,000 ","Enhanced Healthcare Partners, Monroe Capital",n/a,Health care,2/22/2023
HighFive Healthcare,"$100,000,000 ",Norwest,n/a,Health care,6/21/2023
Healthmap Solutions,"$100,000,000 ",WindRose Health Investors,n/a,Health care,8/1/2023
Beta Bionics,"$100,000,000 ","Sands Capital, Omega Funds",n/a,Health care,8/30/2023
Noah Medical,"$150,000,000 ","Softbank Vision Fund, Prosperity7 Ventures",n/a,Health diagnostic,4/19/2023
Monogram Health,"$375,000,000 ",n/a,n/a,Healthc are,1/9/2023
Rippling,"$500,000,000 ",Greenoaks,n/a,Human resources,3/17/2023
ID.me,"$132,000,000 ",Viking Global Investors,n/a,Identity management,4/11/2023
Gravie,"$179,000,000 ",General Atlantic,n/a,Insurance,3/21/2023
Openly,"$100,000,000 ",Eden Global Partners,n/a,Insurance,9/21/2023
Mapbox,"$280,000,000 ",SoftBank,n/a,Logistics,9/19/2023
Lyten,"$200,000,000 ",Prime Movers Lab,n/a,Manufacturing,9/12/2023
Soci,"$120,000,000 ",JMI Equity,n/a,Marketing,3/7/2023
Fever,"$110,000,000 ",Goldman Sachs,"$1,800,000,000 ",Media,1/25/2023
KoBold Metals,"$195,000,000 ",T. Rowe Price,n/a,Mining,6/20/2023
Mavenir,"$100,000,000 ",Siris,n/a,Network software,5/2/2023
Nile,"$175,000,000 ","March Capital, Sanabil Investments",n/a,Networking,8/1/2023
Neuralink,"$280,000,000 ",Founders Fund,n/a,Neuroscience,8/7/2023
